,Price,Levy,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Airbags,Engine volume int,Turbo
28,14454,583,HYUNDAI,2011,Sedan,0,Petrol,158787,4.0,Automatic,Front,04-May,0,4,1.6,0.0
30,15681,1288,MERCEDES-BENZ,2007,Goods wagon,1,Diesel,180000,6.0,Manual,Rear,04-May,0,4,2.0,1.0
31,19444,915,PORSCHE,2014,Jeep,0,Diesel,175056,6.0,Automatic,4x4,04-May,0,12,3.0,0.0
32,6899,0,BMW,2000,Jeep,0,CNG,200000,8.0,Automatic,4x4,04-May,0,6,4.4,0.0
33,125,1750,TOYOTA,2008,Sedan,0,Hybrid,287274,6.0,Automatic,4x4,04-May,0,12,3.3,0.0
34,24462,0,JEEP,2007,Jeep,0,Diesel,250000,6.0,Tiptronic,4x4,04-May,0,10,3.0,1.0
35,23235,707,HYUNDAI,2011,Jeep,0,Diesel,162000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
36,51746,1077,TOYOTA,2019,Jeep,1,Petrol,10200,4.0,Tiptronic,Front,04-May,0,12,2.0,0.0
37,7527,1486,HONDA,2010,Hatchback,1,Hybrid,158000,4.0,Automatic,Front,04-May,1,4,1.3,0.0
38,19121,531,HYUNDAI,2012,Sedan,0,Petrol,103490,4.0,Automatic,Front,04-May,0,4,1.6,0.0
39,314,1399,LEXUS,2010,Jeep,0,Hybrid,382746,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
40,24462,751,TOYOTA,2013,Sedan,0,Petrol,203200,4.0,Automatic,Front,04-May,0,4,2.4,0.0
41,45734,1091,HYUNDAI,2016,Universal,0,Diesel,61057,4.0,Automatic,Front,04-May,0,4,2.5,0.0
42,20165,650,VOLKSWAGEN,2016,Sedan,0,Petrol,11200,4.0,Tiptronic,Front,04-May,0,8,1.4,1.0
43,21326,382,HYUNDAI,2014,Sedan,0,Hybrid,141000,4.0,Tiptronic,Front,04-May,0,12,2.4,0.0
44,549,1436,PORSCHE,2010,Jeep,0,Petrol,160259,6.0,Automatic,4x4,04-May,0,12,3.6,0.0
45,220,1194,TOYOTA,2013,Jeep,0,Petrol,239342,6.0,Automatic,4x4,04-May,0,12,4.0,0.0
46,15681,503,TOYOTA,2012,Hatchback,1,Hybrid,128000,4.0,Variator,Front,04-May,0,8,1.5,0.0
47,55390,1017,HYUNDAI,2017,Jeep,0,Diesel,100734,4.0,Automatic,Front,04-May,0,4,2.0,0.0
48,12544,0,TOYOTA,2012,Hatchback,1,Hybrid,141500,4.0,Automatic,Front,04-May,1,8,1.5,0.0
49,17249,0,FORD,2008,Jeep,1,Hybrid,147000,4.0,Variator,4x4,04-May,0,8,2.3,0.0
50,34889,891,HONDA,2016,Sedan,0,Petrol,87768,4.0,Automatic,Front,04-May,0,4,2.0,0.0
51,862,1104,AUDI,2015,Jeep,0,Petrol,264014,6.0,Automatic,4x4,04-May,0,0,3.0,0.0
52,14583,0,RENAULT,2008,Sedan,1,Diesel,132542,4.0,Manual,Front,04-May,0,10,1.5,1.0
53,392,1017,MERCEDES-BENZ,2017,Sedan,0,Petrol,1600,4.0,Automatic,Rear,04-May,0,12,2.0,0.0
55,8781,0,MERCEDES-BENZ,2001,Coupe,1,Petrol,260000,4.0,Manual,Rear,02-Mar,0,0,2.0,0.0
57,1411,629,NISSAN,2015,Jeep,0,Petrol,87112,4.0,Automatic,4x4,04-May,0,0,1.6,0.0
58,392,919,BMW,2012,Sedan,0,Petrol,204318,6.0,Automatic,Rear,04-May,0,12,3.0,0.0
59,23521,781,CHEVROLET,2018,Sedan,1,Petrol,22000,4.0,Automatic,Front,04-May,0,6,1.4,1.0
60,16935,530,FORD,2013,Sedan,1,Petrol,83000,4.0,Tiptronic,Front,04-May,0,8,1.6,1.0
61,10349,0,TOYOTA,2007,Minivan,0,Petrol,170000,4.0,Automatic,Front,04-May,1,6,2.4,0.0
62,7213,530,NISSAN,2013,Jeep,0,Petrol,312118,4.0,Automatic,Front,04-May,0,0,1.6,0.0
63,5331,0,MERCEDES-BENZ,2004,Sedan,1,Petrol,130000,4.0,Tiptronic,Front,04-May,0,6,1.6,0.0
64,20526,640,HYUNDAI,2013,Jeep,0,Diesel,200279,4.0,Automatic,Front,04-May,0,4,2.0,0.0
66,34657,777,HYUNDAI,2014,Minivan,0,Diesel,154672,4.0,Automatic,Front,04-May,0,4,2.5,0.0
67,36564,1091,HYUNDAI,2016,Minivan,0,Diesel,110969,4.0,Automatic,Front,04-May,0,4,2.5,0.0
68,314,779,TOYOTA,2013,Sedan,0,Hybrid,225510,4.0,Automatic,Front,04-May,0,12,2.5,0.0
69,5488,0,TOYOTA,2001,Hatchback,1,Petrol,210000,4.0,Manual,Front,04-May,1,3,1.5,0.0
70,30063,934,HYUNDAI,2015,Universal,0,Diesel,148105,4.0,Automatic,Front,04-May,0,4,2.5,0.0
71,15800,769,CHEVROLET,2011,Jeep,0,Diesel,255456,4.0,Automatic,Front,04-May,0,4,2.2,0.0
72,43952,1249,HYUNDAI,2017,Universal,0,Diesel,111643,4.0,Automatic,Front,04-May,0,4,2.5,0.0
73,53154,891,HYUNDAI,2016,Jeep,0,Diesel,84506,4.0,Automatic,Front,04-May,0,4,2.0,0.0
74,14740,645,TOYOTA,2011,Hatchback,1,Hybrid,288000,4.0,Automatic,Front,04-May,0,8,1.8,0.0
75,42337,0,FORD,2016,Cabriolet,0,Petrol,75000,4.0,Tiptronic,Rear,02-Mar,0,6,2.3,1.0
76,3763,1053,MERCEDES-BENZ,2014,Jeep,0,Petrol,94362,6.0,Automatic,Rear,04-May,0,12,3.5,0.0
77,18189,0,TOYOTA,2012,Sedan,1,Petrol,175000,4.0,Automatic,Front,04-May,0,8,1.8,0.0
78,862,2455,LEXUS,2008,Jeep,0,Petrol,263190,8.0,Automatic,4x4,04-May,0,0,4.7,0.0
79,220,1185,FORD,2009,Jeep,0,Hybrid,193614,4.0,Automatic,Front,04-May,0,0,2.5,0.0
80,5645,1324,TOYOTA,2010,Jeep,0,Hybrid,264877,6.0,Automatic,4x4,04-May,0,12,3.3,0.0
81,7527,830,TOYOTA,2019,Sedan,0,Petrol,27656,4.0,Automatic,Front,04-May,0,12,1.5,0.0
82,21953,1187,HONDA,2014,Sedan,1,Hybrid,16000,8.0,Automatic,4x4,04-May,1,10,1.4,0.0
83,8154,0,HONDA,1998,Jeep,1,Petrol,0,4.0,Automatic,4x4,04-May,1,2,2.0,0.0
84,21953,781,TOYOTA,2012,Sedan,1,Petrol,195053,4.0,Automatic,Front,04-May,0,0,2.5,0.0
85,19121,531,HYUNDAI,2012,Sedan,0,Petrol,121362,4.0,Automatic,Front,04-May,0,4,1.6,0.0
86,36065,639,HYUNDAI,2014,Jeep,0,Diesel,69191,4.0,Automatic,Front,04-May,0,4,2.0,0.0
87,8781,1111,HONDA,2012,Hatchback,0,Hybrid,83000,4.0,Tiptronic,Front,04-May,1,12,1.3,0.0
88,6247,760,CHEVROLET,2010,Sedan,0,Petrol,40772,4.0,Automatic,Front,04-May,0,4,1.8,0.0
89,16289,642,CHEVROLET,2012,Jeep,0,Diesel,172000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
92,549,781,SUBARU,2012,Jeep,0,Petrol,148213,4.0,Automatic,4x4,04-May,0,0,2.5,0.0
93,6981,1095,DAEWOO,2008,Sedan,0,Petrol,103246,4.0,Automatic,Front,04-May,0,4,2.0,0.0
94,27284,891,HYUNDAI,2016,Sedan,1,Petrol,105394,4.0,Tiptronic,Front,04-May,0,12,2.0,0.0
95,32929,0,BMW,2013,Coupe,0,Petrol,160000,4.0,Automatic,Rear,02-Mar,0,12,2.0,1.0
97,4234,0,HONDA,1997,Hatchback,0,Petrol,0,4.0,Manual,Front,02-Mar,0,6,1.4,0.0
98,15053,0,MERCEDES-BENZ,2004,Sedan,0,Petrol,214000,6.0,Tiptronic,Rear,04-May,0,8,3.2,0.0
99,15458,966,HYUNDAI,2009,Coupe,0,Petrol,123346,4.0,Automatic,Front,04-May,0,4,2.0,0.0
100,2901,473,CHEVROLET,2014,Sedan,0,Petrol,80827,4.0,Automatic,Front,04-May,0,12,1.4,0.0
101,706,1138,PORSCHE,2013,Coupe,0,Petrol,64464,6.0,Automatic,Rear,02-Mar,0,12,3.8,0.0
102,314,382,FORD,2015,Sedan,0,Hybrid,91760,4.0,Automatic,Front,04-May,0,12,2.0,0.0
103,15681,1811,LEXUS,2010,Jeep,0,Petrol,275240,8.0,Automatic,4x4,04-May,0,0,4.6,0.0
104,26657,0,MERCEDES-BENZ,2004,Microbus,1,Diesel,300000,4.0,Manual,Rear,04-May,0,1,2.2,1.0
105,10663,988,TOYOTA,2007,Hatchback,1,Petrol,318400,4.0,Automatic,Front,04-May,0,6,1.5,0.0
106,12858,765,FORD,2015,Sedan,1,Petrol,91200,4.0,Automatic,Front,04-May,0,10,2.0,0.0
107,1019,917,BMW,2013,Jeep,0,Diesel,137802,6.0,Automatic,4x4,04-May,0,12,3.0,0.0
108,549,917,BMW,2013,Sedan,0,Hybrid,151586,6.0,Automatic,Rear,04-May,0,12,3.0,0.0
109,12858,0,KIA,2016,Hatchback,1,Petrol,107000,4.0,Manual,Front,04-May,0,2,1.2,0.0
110,15000,0,BMW,2008,Sedan,0,CNG,210408,6.0,Tiptronic,Rear,04-May,0,12,3.0,0.0
112,44752,1091,HYUNDAI,2016,Universal,0,Diesel,86000,4.0,Automatic,Front,04-May,0,4,2.5,0.0
113,17158,687,HYUNDAI,2010,Sedan,0,Petrol,122740,4.0,Automatic,Front,04-May,0,4,1.6,0.0
114,12231,0,MITSUBISHI,2005,Jeep,1,LPG,144000,4.0,Tiptronic,4x4,04-May,1,16,2.4,0.0
116,1254,0,MITSUBISHI,1997,Sedan,1,Petrol,100000,4.0,Manual,Rear,04-May,0,0,1.3,0.0
117,94,0,HONDA,2003,Hatchback,1,Petrol,178000,4.0,Variator,Front,04-May,1,4,1.5,0.0
118,25591,640,SSANGYONG,2013,Jeep,0,Diesel,85704,4.0,Automatic,Front,04-May,0,4,2.0,0.0
119,14897,836,HYUNDAI,2010,Jeep,0,Diesel,58962,4.0,Automatic,Front,04-May,0,4,2.0,0.0
120,23521,779,TOYOTA,2013,Sedan,0,Hybrid,90000,4.0,Tiptronic,Front,04-May,0,12,2.5,0.0
122,706,777,MAZDA,2014,Sedan,0,Petrol,0,4.0,Automatic,Front,04-May,0,12,2.5,0.0
123,1019,1537,TOYOTA,2009,Sedan,0,Hybrid,318358,6.0,Automatic,4x4,04-May,0,12,3.3,0.0
124,16935,765,FORD,2015,Sedan,0,Petrol,71454,4.0,Automatic,Front,04-May,0,0,2.0,0.0
125,19444,781,TOYOTA,2012,Sedan,0,Petrol,0,4.0,Tiptronic,Front,04-May,0,6,2.5,0.0
126,11604,639,HYUNDAI,2014,Sedan,0,LPG,346470,4.0,Automatic,Front,04-May,0,4,2.0,0.0
127,51965,891,HYUNDAI,2016,Jeep,0,Diesel,59515,4.0,Automatic,Front,04-May,0,4,2.0,0.0
128,706,394,TOYOTA,2014,Sedan,0,Hybrid,115312,4.0,Automatic,Front,04-May,0,12,2.5,0.0
129,9408,0,MERCEDES-BENZ,1999,Sedan,1,Diesel,111111,4.0,Manual,Rear,04-May,0,4,2.2,1.0
130,13328,1347,HYUNDAI,2008,Minivan,0,Diesel,74444,4.0,Automatic,Front,04-May,0,4,2.5,0.0
131,17876,0,NISSAN,2012,Minivan,1,Petrol,143000,4.0,Tiptronic,Front,04-May,1,12,2.0,0.0
132,549,2866,NISSAN,2004,Sedan,0,Petrol,299709,6.0,Automatic,Front,04-May,0,12,3.5,0.0
133,20071,0,TOYOTA,2008,Jeep,1,Petrol,135000,4.0,Automatic,4x4,04-May,0,8,2.4,0.0
134,22894,862,HYUNDAI,2011,Minivan,0,Diesel,124444,4.0,Automatic,Front,04-May,0,4,2.5,0.0
135,2901,503,HONDA,2012,Sedan,0,Hybrid,146403,4.0,Automatic,Front,04-May,0,0,1.5,0.0
136,15681,0,MITSUBISHI,1997,Jeep,1,Petrol,142000,4.0,Automatic,4x4,02-Mar,0,6,2.4,0.0
137,39829,1811,LEXUS,2010,Jeep,0,Petrol,155821,8.0,Automatic,4x4,04-May,0,0,4.6,0.0
138,706,1646,LEXUS,2015,Jeep,0,Petrol,102907,8.0,Automatic,4x4,04-May,0,0,4.6,0.0
139,18660,0,HYUNDAI,2013,Sedan,0,Petrol,130000,4.0,Tiptronic,Front,04-May,0,6,2.4,0.0
140,22580,1017,MERCEDES-BENZ,2017,Sedan,0,Petrol,50930,4.0,Automatic,Rear,04-May,0,12,2.0,0.0
141,11604,639,HYUNDAI,2014,Sedan,0,LPG,264872,4.0,Automatic,Front,04-May,0,4,2.0,0.0
142,314,259,CHEVROLET,2014,Hatchback,0,Hybrid,131893,4.0,Automatic,Front,04-May,0,0,1.4,0.0
143,5488,751,GMC,2013,Jeep,0,Petrol,138958,4.0,Automatic,Front,04-May,0,12,2.4,0.0
145,18817,609,TOYOTA,2018,Sedan,0,Hybrid,35058,4.0,Automatic,Front,04-May,0,12,2.5,0.0
146,21169,697,HONDA,2015,Jeep,1,Petrol,33330,4.0,Automatic,4x4,04-May,0,8,1.8,0.0
147,9095,0,FIAT,2011,Coupe,1,Petrol,141000,4.0,Automatic,Front,02-Mar,1,4,1.2,0.0
148,1568,639,VOLKSWAGEN,2014,Sedan,0,Diesel,82392,4.0,Automatic,Front,04-May,0,12,2.0,0.0
149,3136,0,SUBARU,2005,Goods wagon,1,Petrol,180000,6.0,Tiptronic,4x4,04-May,1,6,2.0,1.0
150,17876,585,HYUNDAI,2013,Sedan,0,Petrol,117920,4.0,Tiptronic,Front,04-May,0,12,1.8,0.0
151,11290,891,HYUNDAI,2016,Sedan,0,LPG,279787,4.0,Automatic,Front,04-May,0,4,2.0,0.0
152,36065,1399,TOYOTA,2010,Minivan,0,Petrol,227200,6.0,Tiptronic,Front,04-May,0,16,3.5,0.0
153,862,394,TOYOTA,2014,Sedan,0,Hybrid,130478,4.0,Automatic,Front,04-May,0,12,2.5,0.0
154,21395,781,HYUNDAI,2012,Universal,0,Diesel,166144,4.0,Automatic,Front,04-May,0,4,2.5,0.0
155,15681,891,HYUNDAI,2016,Sedan,0,LPG,258706,4.0,Automatic,Front,04-May,0,4,2.0,0.0
156,627,475,CHEVROLET,2012,Jeep,0,Hybrid,188419,4.0,Automatic,Front,04-May,0,0,1.4,0.0
157,40070,690,TOYOTA,2016,Hatchback,0,Petrol,25807,4.0,Automatic,Front,04-May,0,4,1.5,0.0
158,11917,0,MERCEDES-BENZ,2008,Hatchback,1,Petrol,180000,4.0,Automatic,Front,04-May,0,8,1.7,0.0
160,35927,640,SSANGYONG,2013,Jeep,0,Diesel,137267,4.0,Automatic,Front,04-May,0,4,2.0,0.0
161,21012,308,TOYOTA,2014,Sedan,1,Hybrid,160000,4.0,Automatic,4x4,04-May,0,4,1.8,0.0
162,21012,1823,TOYOTA,2018,Sedan,0,Petrol,27358,6.0,Automatic,Front,04-May,0,12,3.5,0.0
163,13172,1361,KIA,2009,Minivan,0,Diesel,84176,4.0,Automatic,Front,04-May,0,6,2.9,0.0
164,15624,707,HYUNDAI,2011,Coupe,0,Petrol,107005,4.0,Automatic,Front,04-May,0,4,2.0,0.0
165,4547,0,OPEL,1997,Sedan,1,Petrol,15000,4.0,Manual,Front,04-May,0,2,1.6,0.0
166,5488,1273,INFINITI,2015,Jeep,0,Petrol,124154,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
167,20005,531,HYUNDAI,2012,Sedan,0,Petrol,104997,4.0,Automatic,Front,04-May,0,4,1.6,0.0
168,36110,924,VOLKSWAGEN,2017,Sedan,0,Petrol,27728,6.0,Tiptronic,Front,04-May,0,8,1.8,0.0
170,470,1077,MAZDA,2019,Jeep,0,Petrol,11566,4.0,Automatic,4x4,04-May,0,12,2.0,0.0
172,43880,891,HYUNDAI,2016,Jeep,0,Diesel,113700,4.0,Automatic,Front,04-May,0,4,2.0,0.0
173,29479,584,MERCEDES-BENZ,2014,Sedan,0,Petrol,69000,4.0,Tiptronic,Rear,04-May,0,8,1.8,1.0
174,17249,0,TOYOTA,2011,Sedan,0,Hybrid,152000,4.0,Variator,Front,04-May,0,12,2.5,0.0
175,9408,0,TOYOTA,2003,Universal,1,Petrol,181926,4.0,Automatic,4x4,04-May,1,2,1.5,0.0
176,44213,891,HYUNDAI,2016,Jeep,0,Diesel,50255,4.0,Automatic,Front,04-May,0,4,2.0,0.0
177,8467,2078,BMW,2001,Sedan,0,Petrol,252800,6.0,Manual,Rear,04-May,0,6,2.5,0.0
178,627,915,AUDI,2014,Sedan,0,Petrol,164488,6.0,Automatic,4x4,04-May,0,12,3.0,0.0
179,21950,831,FORD,2011,Goods wagon,1,Diesel,125000,4.0,Manual,4x4,04-May,0,2,2.4,1.0
180,706,475,FIAT,2012,Hatchback,0,Petrol,164574,4.0,Automatic,Front,04-May,0,12,1.4,0.0
181,3136,473,CHEVROLET,2014,Sedan,0,Petrol,156992,4.0,Automatic,Front,04-May,0,12,1.4,0.0
183,9408,0,MITSUBISHI,1998,Jeep,1,Petrol,11000,6.0,Tiptronic,4x4,04-May,1,4,3.5,1.0
184,31500,0,NISSAN,2010,Jeep,0,LPG,90200,6.0,Tiptronic,4x4,04-May,0,12,4.0,0.0
185,20385,0,MITSUBISHI,2005,Minivan,0,Petrol,184000,6.0,Automatic,4x4,04-May,1,12,3.0,0.0
186,314,1053,MERCEDES-BENZ,2014,Sedan,0,Diesel,149486,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
187,2300,0,VOLKSWAGEN,1996,Sedan,1,CNG,0,4.0,Manual,Front,04-May,0,0,2.0,0.0
188,7840,0,MERCEDES-BENZ,2004,Universal,1,LPG,170000,4.0,Tiptronic,Front,04-May,0,4,1.9,0.0
189,56450,0,TOYOTA,2018,Sedan,0,Petrol,25000,4.0,Tiptronic,Front,04-May,0,12,2.5,0.0
190,1490,639,VOLKSWAGEN,2014,Universal,0,Diesel,113214,4.0,Automatic,Front,04-May,0,12,2.0,0.0
191,627,836,TOYOTA,2012,Sedan,0,Petrol,394069,4.0,Automatic,Rear,04-May,0,12,2.7,0.0
193,13172,0,HONDA,2002,Jeep,1,Petrol,260000,4.0,Automatic,4x4,04-May,0,6,2.4,0.0
195,4704,917,AUDI,2013,Hatchback,0,Petrol,301707,6.0,Automatic,4x4,04-May,0,0,3.0,0.0
196,706,751,HYUNDAI,2013,Sedan,0,Petrol,175827,4.0,Automatic,Front,04-May,0,12,2.4,0.0
197,5802,1055,MERCEDES-BENZ,2013,Sedan,0,Diesel,107800,6.0,Automatic,Rear,04-May,0,12,3.5,0.0
198,25716,777,TOYOTA,2014,Sedan,1,Petrol,115200,4.0,Automatic,Front,04-May,0,8,2.5,0.0
199,14426,642,CHEVROLET,2012,Jeep,0,LPG,132036,4.0,Automatic,Front,04-May,0,4,2.0,0.0
200,10820,0,TOYOTA,2001,Jeep,1,Petrol,91000,4.0,Automatic,4x4,02-Mar,1,4,2.0,0.0
201,45436,1172,FORD,2011,Jeep,0,Petrol,129177,4.0,Automatic,Front,04-May,0,4,3.5,0.0
202,11917,893,HYUNDAI,2008,Hatchback,1,Diesel,201000,4.0,Manual,Front,04-May,0,8,1.6,0.0
203,41281,765,HYUNDAI,2015,Jeep,0,Diesel,185811,4.0,Automatic,Front,04-May,0,4,2.0,0.0
204,4391,0,NISSAN,1998,Sedan,1,Petrol,358400,4.0,Manual,Front,04-May,0,2,2.4,0.0
205,3058,1872,PORSCHE,2018,Sedan,0,Petrol,28968,6.0,Automatic,4x4,04-May,0,12,3.6,0.0
206,3700,0,ALFA ROMEO,2001,Coupe,0,Petrol,240000,4.0,Manual,Front,02-Mar,0,4,1.8,0.0
207,15681,0,SUZUKI,2008,Jeep,1,Petrol,98000,4.0,Automatic,4x4,02-Mar,0,12,1.6,0.0
208,6586,645,LEXUS,2011,Hatchback,0,Hybrid,122302,4.0,Automatic,Front,04-May,0,0,1.8,0.0
209,12544,0,TOYOTA,2007,Hatchback,1,Hybrid,140000,4.0,Automatic,Front,04-May,0,6,1.5,0.0
210,30063,639,HYUNDAI,2014,Jeep,0,Diesel,120000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
212,21639,0,HYUNDAI,2015,Hatchback,1,Petrol,17200,4.0,Tiptronic,Front,02-Mar,0,10,1.6,0.0
213,36692,0,TOYOTA,2013,Jeep,1,Petrol,120000,4.0,Tiptronic,Front,04-May,0,0,2.5,0.0
214,30,0,HONDA,2002,Hatchback,1,Petrol,0,4.0,Automatic,Front,04-May,1,4,1.5,0.0
215,12231,1266,TOYOTA,2014,Hatchback,1,Hybrid,66000,4.0,Variator,Front,04-May,1,4,1.5,0.0
216,3136,0,TOYOTA,2004,Sedan,1,Petrol,300000,4.0,Variator,Front,04-May,1,4,1.5,0.0
217,10663,0,TOYOTA,2009,Sedan,0,Hybrid,230000,4.0,Variator,Front,04-May,0,6,1.8,0.0
218,5620,447,HONDA,2013,Hatchback,0,Petrol,110467,4.0,Automatic,Front,04-May,0,4,1.3,0.0
219,19130,2148,MERCEDES-BENZ,2010,Sedan,0,Petrol,157000,4.0,Automatic,Front,04-May,0,10,5.5,0.0
220,9408,1111,HONDA,2012,Hatchback,1,Hybrid,64000,4.0,Variator,Front,04-May,1,4,1.3,0.0
221,3,0,HYUNDAI,2011,Sedan,0,Petrol,80000,4.0,Tiptronic,Front,04-May,0,6,1.8,0.0
222,15367,640,VOLKSWAGEN,2013,Sedan,0,Diesel,179200,4.0,Tiptronic,Front,04-May,0,16,2.0,1.0
223,5959,1730,CHEVROLET,2011,Sedan,0,Petrol,246976,8.0,Automatic,Front,04-May,0,12,5.3,0.0
224,26594,777,HYUNDAI,2014,Minivan,0,Diesel,179918,4.0,Automatic,Front,04-May,0,4,2.5,0.0
225,36065,779,TOYOTA,2013,Sedan,0,Hybrid,92200,4.0,Tiptronic,Front,04-May,0,12,2.5,0.0
226,26343,730,KIA,2016,Sedan,0,Diesel,29000,4.0,Tiptronic,Front,04-May,0,8,1.6,1.0
227,549,862,MAZDA,2011,Sedan,0,Petrol,216550,4.0,Automatic,Front,04-May,0,12,2.5,0.0
229,40142,1811,LEXUS,2010,Jeep,0,Petrol,357246,8.0,Automatic,4x4,04-May,0,0,4.6,0.0
230,14000,585,HYUNDAI,2013,Sedan,1,Petrol,50000,4.0,Tiptronic,Front,04-May,0,10,1.8,0.0
231,17923,473,CHEVROLET,2014,Sedan,0,Petrol,127842,4.0,Automatic,Front,04-May,0,4,1.4,0.0
232,54518,831,HYUNDAI,2017,Jeep,0,Petrol,40193,4.0,Automatic,Front,04-May,0,4,1.6,0.0
233,10349,0,OPEL,2003,Hatchback,1,Petrol,180000,4.0,Manual,Front,04-May,0,6,1.6,0.0
234,8154,0,TOYOTA,2002,Hatchback,1,Petrol,115000,4.0,Automatic,Front,04-May,1,7,1.3,0.0
235,282,289,FORD,2008,Jeep,0,Hybrid,220474,4.0,Automatic,Front,04-May,0,0,0.4,0.0
236,7527,640,VOLKSWAGEN,2013,Sedan,0,Diesel,132310,4.0,Automatic,Front,04-May,0,12,2.0,0.0
237,3450,1249,TOYOTA,2017,Sedan,0,Petrol,60762,4.0,Automatic,Front,04-May,0,12,2.5,0.0
238,22063,836,HYUNDAI,2010,Jeep,0,Diesel,142264,4.0,Automatic,Front,04-May,0,4,2.0,0.0
240,4704,585,TOYOTA,2013,Sedan,0,Petrol,227371,4.0,Automatic,Front,04-May,0,12,1.8,0.0
241,5331,0,VOLKSWAGEN,2002,Sedan,0,Petrol,175000,6.0,Manual,Front,04-May,0,6,2.8,0.0
242,941,642,VOLKSWAGEN,2012,Sedan,0,Diesel,203440,4.0,Automatic,Front,04-May,0,12,2.0,0.0
243,16900,502,HONDA,2013,Hatchback,0,Petrol,70000,4.0,Automatic,Front,04-May,0,4,1.5,0.0
244,18189,0,NISSAN,2010,Jeep,0,Petrol,122000,4.0,Automatic,4x4,04-May,0,4,2.5,0.0
245,5331,0,MAZDA,2000,Minivan,1,Petrol,127000,4.0,Automatic,Front,04-May,0,4,2.5,0.0
246,42651,1017,MERCEDES-BENZ,2017,Jeep,0,Petrol,44995,4.0,Automatic,4x4,04-May,0,0,2.0,0.0
